role_id,bidang,nama_role,deskripsi,skill,gaji
R054,F03,AR/VR Developer (Unity),"AR/VR Developer (Unity) mengembangkan aplikasi augmented reality dan virtual reality yang imersif menggunakan Unity sebagai platform utama. Pekerjaan hariannya mencakup pembuatan scene 3D interaktif, integrasi SDK ARKit dan ARCore, pengembangan shader, serta pengujian aplikasi di berbagai headset XR. Mereka berada di persimpangan seni, teknologi, dan inovasi yang mendefinisikan masa depan cara manusia berinteraksi dengan dunia digital.","Unity, C#, ARKit, ARCore, Unreal Engine, OpenXR, 3D Modeling, Shader Graph, C++, Spatial Audio",Rp 7.000.000
R055,F04,Digital Marketing Specialist,"Digital Marketing Specialist merancang dan mengeksekusi strategi pemasaran digital lintas channel untuk meningkatkan brand awareness, keterlibatan, dan konversi. Aktivitas hariannya mencakup pengelolaan kampanye SEO, SEM, email marketing, dan media sosial, serta analisis performa menggunakan Google Analytics. Mereka mengoptimalkan setiap titik sentuh digital untuk memaksimalkan return on investment bagi perusahaan.","SEO, SEM, Google Analytics, Meta Ads, Email Marketing, Content Marketing, Marketing Automation, CRM, A/B Testing, Data-Driven Strategy",Rp 5.000.000
R056,F04,SEO Specialist,"SEO Specialist mengoptimalkan kehadiran online perusahaan di mesin pencari untuk meningkatkan lalu lintas organik yang berkualitas dan visibilitas merek. Tugas hariannya meliputi riset kata kunci, optimasi on-page dan teknikal SEO, link building, serta pemantauan peringkat menggunakan SEMrush dan Google Search Console. Mereka membantu perusahaan ditemukan oleh calon pelanggan yang tepat pada waktu yang tepat.","SEO, Google Search Console, Keyword Research, On-Page Optimization, Link Building, Google Analytics, Technical SEO, SEMrush, Ahrefs, Content Strategy",Rp 7.968.552
R057,F04,Content Strategist,"Content Strategist merancang strategi konten yang komprehensif untuk membangun otoritas merek, mendidik audiens, dan mendorong konversi di berbagai saluran digital. Pekerjaan hariannya meliputi perencanaan editorial, riset audiens, pengelolaan kalender konten, serta analisis performa konten untuk penyempurnaan berkelanjutan. Mereka memastikan setiap konten yang diproduksi selaras dengan tujuan bisnis dan kebutuhan pengguna.","Content Strategy, SEO Writing, Editorial Planning, CMS, Copywriting, Content Analytics, Audience Research, Brand Messaging, A/B Testing, HubSpot",Rp 9.227.358
R058,F04,Performance Marketer (Ads),"Performance Marketer bertanggung jawab mengelola dan mengoptimalkan kampanye iklan berbayar di platform seperti Google Ads dan Meta Ads untuk memaksimalkan ROI. Aktivitas hariannya mencakup pengelolaan budget iklan, A/B testing materi kreatif, analisis data konversi, dan optimasi landing page. Mereka menggabungkan kreativitas dengan kemampuan analitis untuk menghasilkan kampanye iklan yang efisien dan terukur.","Google Ads, Meta Ads, SEM, Performance Marketing, A/B Testing, Google Analytics, Landing Page Optimization, Programmatic Advertising, ROI Analysis, Facebook Business Manager",Rp 6.000.000
R059,F04,Marketing Analyst,"Marketing Analyst menganalisis data kampanye dan perilaku pasar untuk menghasilkan wawasan yang memandu keputusan strategi pemasaran. Pekerjaan hariannya mencakup pengolahan data dari Google Analytics dan CRM, pembuatan laporan performa kampanye, serta identifikasi tren dan peluang pasar menggunakan SQL dan Tableau. Mereka menjadi kompas data-driven bagi seluruh tim pemasaran.","Google Analytics, SQL, Excel, Data Visualization, Marketing Attribution, A/B Testing, Tableau, CRM Analytics, Python, Power BI",Rp 8.469.730
R060,F04,CRM Specialist,"CRM Specialist mengelola sistem manajemen hubungan pelanggan untuk meningkatkan retensi, loyalitas, dan nilai seumur hidup pelanggan. Kegiatan hariannya mencakup konfigurasi dan pengelolaan platform CRM seperti Salesforce dan HubSpot, segmentasi pelanggan, otomasi email marketing, serta analisis data pelanggan. Mereka memastikan setiap interaksi dengan pelanggan terasa personal, relevan, dan bernilai.","Salesforce CRM, HubSpot, CRM Data Management, Email Automation, SQL, Customer Segmentation, Marketing Automation, Power BI, Excel, Campaign Reporting",Rp 3.000.000
R061,F04,Content Writer / Copywriter,"Content Writer / Copywriter menciptakan konten tulis yang menarik, informatif, dan persuasif untuk berbagai platform digital dan kebutuhan pemasaran. Pekerjaan hariannya meliputi penulisan artikel blog, copy iklan, email marketing, caption media sosial, dan konten SEO yang dioptimalkan. Kemampuan bercerita yang kuat dikombinasikan dengan pemahaman SEO menjadikan mereka aset berharga dalam strategi konten digital.","SEO Writing, Copywriting, Content Creation, Editing, Digital Marketing, Blog Writing, CMS, Research, Brand Voice, Social Media Content",Rp 5.117.236
R062,F04,Social Media Manager,"Social Media Manager mengelola kehadiran merek di berbagai platform media sosial untuk membangun komunitas, meningkatkan keterlibatan, dan memperkuat identitas merek. Aktivitas hariannya mencakup pembuatan dan penjadwalan konten, pemantauan interaksi komunitas, pengelolaan iklan media sosial, serta analisis performa menggunakan alat seperti Hootsuite. Mereka menjadi suara dan wajah merek di dunia digital yang penuh persaingan.","Social Media Strategy, Content Creation, Meta Business Suite, Instagram Ads, TikTok, Community Engagement, Canva, Analytics Reporting, Hootsuite, Influencer Marketing",Rp 7.353.954
R063,F04,Community Manager,"Community Manager membangun, mengelola, dan menumbuhkan komunitas pengguna atau pelanggan yang aktif dan terlibat di sekitar produk atau merek. Pekerjaan hariannya meliputi moderasi komunitas di Discord atau forum, penyelenggaraan acara virtual, respons terhadap pertanyaan anggota, dan pengumpulan umpan balik untuk tim produk. Mereka adalah jembatan antara perusahaan dan komunitasnya, menciptakan rasa kepemilikan dan loyalitas.","Community Engagement, Discord Management, Social Media, Event Coordination, Content Moderation, CRM, Email Communication, HubSpot, User Feedback Analysis, Brand Advocacy",Rp 6.781.659
R064,F04,Virtual Assistant,"Virtual Assistant memberikan dukungan administratif dan operasional jarak jauh kepada eksekutif, tim, atau bisnis menggunakan alat produktivitas digital. Tugas hariannya mencakup manajemen jadwal dan email, riset data, pembuatan dokumen, koordinasi rapat, serta pengelolaan media sosial dasar. Fleksibilitas, kemandirian, dan keterampilan organisasi yang tinggi adalah kunci kesuksesan di peran ini.","Google Workspace, Project Management Tools, Email Management, Data Entry, Scheduling, Trello, Notion, Research, Microsoft Office, Social Media Management",Rp 5.000.000
R065,F04,Marketing Associate,"Marketing Associate mendukung pelaksanaan berbagai inisiatif pemasaran, mulai dari pembuatan konten hingga koordinasi kampanye dan analisis data dasar. Kegiatan hariannya meliputi asistensi pengelolaan media sosial, pembuatan materi marketing menggunakan Canva, pemantauan performa kampanye email, dan koordinasi lintas tim. Peran ini merupakan pintu masuk yang ideal untuk membangun karir di bidang pemasaran digital.","Google Analytics, Social Media Marketing, Content Creation, CRM, Email Marketing, SEO Basics, Canva, Excel, Campaign Coordination, Market Research",Rp 4.255.307
R066,F04,E-commerce Manager,"E-commerce Manager mengelola seluruh operasional toko online perusahaan, dari pengelolaan produk dan inventaris hingga optimasi pengalaman belanja dan strategi pemasaran digital. Pekerjaan hariannya mencakup manajemen platform Shopify atau WooCommerce, optimasi listing produk, pengelolaan kampanye iklan digital, dan analisis performa penjualan. Mereka memastikan saluran e-commerce beroperasi secara efisien dan menghasilkan pendapatan yang optimal.","Shopify, WooCommerce, Google Analytics, Amazon Seller Central, Email Marketing, SEO, CRO, Product Listing Optimization, Inventory Management, Meta Ads",Rp 10.000.000
R067,F04,Campaign Analyst,"Campaign Analyst mengukur, menganalisis, dan melaporkan efektivitas kampanye pemasaran untuk membantu tim marketing mengoptimalkan pengeluaran dan strategi. Aktivitas hariannya meliputi analisis data kampanye dari berbagai platform iklan, pembuatan laporan performa menggunakan Tableau atau Power BI, serta identifikasi pola dan rekomendasi optimasi berbasis data. Mereka memastikan setiap rupiah anggaran pemasaran menghasilkan dampak yang terukur.","Google Analytics, Excel, SQL, Campaign Performance Analysis, Tableau, A/B Testing, Meta Ads Manager, Power BI, Attribution Modeling, Data Visualization",Rp 4.000.000
R068,F04,Business Analyst (Marketing focus),"Business Analyst (Marketing focus) mengidentifikasi kebutuhan bisnis dalam domain pemasaran dan menerjemahkannya menjadi solusi teknis dan strategis yang dapat diimplementasikan. Pekerjaan hariannya mencakup dokumentasi kebutuhan, analisis data pemasaran menggunakan SQL dan Power BI, fasilitasi sesi stakeholder, dan koordinasi dengan tim IT dan marketing. Mereka menjadi katalis yang memastikan inisiatif pemasaran didukung oleh sistem dan data yang tepat.","SQL, Power BI, Tableau, Business Requirements Documentation, Agile, Stakeholder Analysis, Process Mapping, Excel, Data Analysis, Jira",Rp 5.000.000
