title,curriculum,course_url,level,duration
TsinghuaX: Leadership in a New Era: A Course at Tsinghua SEM by McKinsey | 麦肯锡“全球领导力”,,https://www.edx.org/learn/leadership/tsinghua-university-leadership-in-a-new-era-a-course-at-tsinghua-sem-by-mckinsey-mai-ken-xi-quan-qiu-ling-dao-li?index=rv_product_summary&queryId=4450b8245d890bc3548229755e74fc33&position=4,,
UMD: Fundamentals of Digital Marketing,Curriculum Not Found,https://www.edx.org/learn/digital-marketing/the-university-of-maryland-college-park-fundamentals-of-digital-marketing?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=2,,
State-Bank-of-India: Influence Essentials for Leadership and Marketing,"Week 1 : The Realm of Influence - Meaning, Concept and Significance Week 2 : Techniques & Skills for Effective Influence – Learning and adapting to key Influencing Techniques & Skills Week 3 : Leveraging Influence for Leadership and People Management Week 4 : Influencing Customer Decisions – Applicability of Influence for Marketing of products and services Week 5 : Influencer Marketing – Identifying and empowering influencers for brand building.",https://www.edx.org/learn/marketing-management/state-bank-of-india-influence-essentials-for-leadership-and-marketing?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=12,,
BerkeleyX: Finding Purpose Across Your Life,Curriculum Not Found,https://www.edx.org/learn/health-wellness/university-of-california-berkeley-finding-purpose-across-your-lifespan?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=12,,
"Wharton: Selling Ideas: How to Influence Others, and Get Your Message to Catch On",,https://www.edx.org/learn/business-administration/the-wharton-school-of-the-university-of-pennsylvania-selling-ideas-how-to-influence-others-and-get-your?index=rv_product_summary&queryId=4450b8245d890bc3548229755e74fc33&position=3,,
IIMBx: Quantitative Marketing Research,Week 1: Value and Willingness to pay Setting the Framework Elements of Value Value and Willingness to Pay (WTP) An Example: WTP From Problem Definition to Decision Making Week 2: Indirect Measurements of Value Exaggeration Bias,https://www.edx.org/learn/marketing/indian-institute-of-management-bangalore-quantitative-marketing-research?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=19,,
BerkeleyX: Beyond Diversity: Navigating the DEI landscape in these challenging times,Curriculum Not Found,https://www.edx.org/learn/social-science/university-of-california-berkeley-bias-and-the-workplace-history-structure-and-individuals?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=4,,
"ColumbiaX: Data, Models and Decisions in Business Analytics","Introduction to Probability: Random variables; Normal, Binomial, Exponential distributions; applications Estimation: sampling; confidence intervals; hypothesis testing Regression: linear regression; dummy variables; applications Linear Optimization; Non-linear optimization; Discrete Optimization; applications Dynamic Optimization; decision trees",https://www.edx.org/learn/business-analytics/columbia-university-data-models-and-decisions-in-business-analytics?index=rv_product_summary&queryId=4450b8245d890bc3548229755e74fc33&position=6,,
"HarvardX: Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",Module 1: Overview and history of the FDA Module 2: Drug development and approval Module 3: Drug pricing in the United States Module 4: Marketing strategies Module 5: Post-approval evaluation Module 6: Emerging medical technologies,https://www.edx.org/learn/drugs/harvard-university-prescription-drug-regulation-cost-and-access-current-controversies-in-context?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=1,,
TecdeMonterreyX: Digital Marketing and Data Driven Analytics,Digital Marketing Communication Strategies * Influencer Marketing * Digital Footprint Digital Marketing through SEO and SEM Alignment * SEO Fundamentals * SEM Alignment Website Optimization and Social Media Marketing,https://www.edx.org/learn/digital-marketing/tecnologico-de-monterrey-digital-marketing-and-data-driven-analytics?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=2,,
IIMBx: Customer Relationship Management,"Week 1 : Introduction to CRM
Meaning and definition of CRM, benefits of CRM, why should businesses adopt CRM Week 2 : Building Customer Relationships
The why’s and how’s of building relationships with customers. Week 3 : Economics of CRM
Lifetime value of customer, Activity based costing for customer profitability analysis Week 4 : CRM Applications
Applications of CRM in different industries",https://www.edx.org/learn/customer-relationship-management/indian-institute-of-management-bangalore-customer-relationship-management?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=11,,
HKPolyUx: Innovation and Technology Management in Tourism and Hospitality,Week 1: An Introduction to IT in Hospitality & Tourism Industry Develop a holistic view of the impact of ICT in the hospitality and tourism industry. Week 2: Information Technology Adoption and Dynamic Impact on Hospitality & Tourism Organizations Introduce the theoretical perspectives on technology adoption and innovation diffusion. Week 3: Value Creation Through IT and Innovation,https://www.edx.org/learn/tourism-management/the-hong-kong-polytechnic-university-innovation-and-technology-management-in-tourism-and-hospitality?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=2,,
